programName,courseCode,courseType
Electrical Engineering,ENG101,foundation
Electrical Engineering,FOUN202,core
Electrical Engineering,STAT202,core
Electrical Engineering,PHIL101,foundation
Electrical Engineering,FOUN342,foundation
Electrical Engineering,SPAN101,foundation
Electrical Engineering,ENG101,foundation
Agriculture,HIST101,foundation
Agriculture,PHIL202,core
Agriculture,DANC101,core
Agriculture,HUM101,elective
Agriculture,REL101,core
Agriculture,POLI202,core
Agriculture,SOC101,foundation
Agriculture,SOC101,foundation
Agriculture,ENG101,core
Agriculture,ANTH202,elective
Agriculture,PHIL101,foundation
Agriculture,THEA101,core
Agriculture,ECON202,core
Chemistry,FOUN342,elective
Chemistry,FOUN202,foundation
Chemistry,ACCT202,core
Chemistry,CSCI101,core
Chemistry,PHIL202,core
Chemistry,FREN101,elective
Chemistry,PSYC101,elective
Chemistry,FOUN342,foundation
Chemistry,ART101,elective
Chemistry,BIOL202,elective
Chemistry,STAT202,core
Chemistry,ENG101,foundation
Chemistry,ENG101,elective
Environmental Physics Minor,MARK202,foundation
Environmental Physics Minor,GEOG202,foundation
Environmental Physics Minor,HIST101,foundation
Environmental Physics Minor,PHIL101,elective
Environmental Physics Minor,FOUN202,foundation
Environmental Physics Minor,MARK202,elective
Environmental Physics Minor,ACCT202,elective
Environmental Physics Minor,ART101,foundation
Environmental Physics Minor,SPAN101,core
Environmental Physics Minor,ENG101,elective
Environmental Physics Minor,ACCT202,core
Environmental Physics Minor,ASTR202,elective
Environmental Physics Minor,ACCT202,core
History,CSCI101,core
History,DANC101,core
History,THEA101,foundation
History,ECON202,elective
History,FOUN202,foundation
History,ECON202,foundation
History,PSYC101,elective
History,MATH202,foundation
History,FREN101,foundation
History,REL101,elective
History,FOUN202,core
History,FOUN342,elective
History,ASTR202,foundation
Actuarial Science Special,CHEM202,elective
Actuarial Science Special,STAT202,elective
Actuarial Science Special,MGMT202,elective
Actuarial Science Special,SOC101,core
Actuarial Science Special,PHIL202,core
Actuarial Science Special,STAT202,core
Actuarial Science Special,REL101,foundation
Actuarial Science Special,THEA101,elective
Actuarial Science Special,PHIL101,foundation
Actuarial Science Special,GEOG202,elective
Actuarial Science Special,EDUC101,foundation
Actuarial Science Special,ASTR202,foundation
Actuarial Science Special,ASTR202,elective
Sociology,ART101,core
Sociology,ANTH202,foundation
Sociology,FOUN342,foundation
Sociology,GEOG202,foundation
Sociology,CHEM101,foundation
Sociology,POLI202,core
Sociology,ART101,elective
Sociology,EDUC101,core
Sociology,BIOL202,foundation
Sociology,BIOL202,foundation
Sociology,SOCI101,foundation
Sociology,FOUN342,elective
Sociology,DANC101,elective
Art History,FIN202,elective
Art History,FREN101,foundation
Art History,THEA101,elective
Art History,ASTR202,core
Art History,FOUN342,elective
Art History,CHEM202,foundation
Art History,FOUN342,elective
Art History,ART101,core
Art History,PHYS101,core
Art History,FOUN202,core
Art History,MUS101,foundation
Art History,ACCT202,core
Art History,MARK202,elective
Political Science,ASTR202,foundation
Political Science,SOCI101,core
Political Science,STAT202,foundation
Political Science,FOUN202,core
Political Science,PHYS101,elective
Political Science,MARK202,foundation
Political Science,CHEM202,core
Political Science,ENG101,foundation
Political Science,ECON202,foundation
Political Science,REL101,elective
Political Science,PHIL202,core
Political Science,GEOG202,core
Political Science,CSCI101,core
Economics,FOUN202,core
Economics,EDUC101,elective
Economics,ART101,core
Economics,ASTR202,elective
Economics,MGMT202,elective
Economics,HIST101,core
Economics,PSYC101,foundation
Economics,FOUN342,core
Economics,HIST101,foundation
Economics,CHEM202,elective
Economics,FIN202,elective
Economics,PHIL101,elective
Economics,STAT202,elective
Environmental Science Major,SOC101,foundation
Environmental Science Major,DANC101,foundation
Environmental Science Major,POLI202,foundation
Environmental Science Major,SOCI101,core
Environmental Science Major,PHIL202,core
Environmental Science Major,MATH202,foundation
Environmental Science Major,FIN202,core
Environmental Science Major,POLI202,elective
Environmental Science Major,CHEM101,elective
Environmental Science Major,DANC101,core
Environmental Science Major,ENG101,core
Environmental Science Major,REL101,foundation
Environmental Science Major,PHYS101,elective
Geography Major,BUS202,foundation
Geography Major,PHYS101,foundation
Geography Major,STAT202,core
Geography Major,PHIL202,elective
Geography Major,ASTR202,foundation
Geography Major,ACCT202,elective
Geography Major,THEA101,elective
Geography Major,CHEM101,foundation
Geography Major,MUS101,elective
Geography Major,STAT202,elective
Geography Major,CHEM202,core
Geography Major,FOUN342,elective
Geography Major,PHYS101,foundation
Education Primary General,ECON202,elective
Education Primary General,MUS101,core
Education Primary General,SPAN101,core
Education Primary General,ECON202,core
Education Primary General,ASTR202,elective
Education Primary General,ECON202,elective
Education Primary General,BUS202,elective
Education Primary General,SOCI101,core
Education Primary General,FREN101,foundation
Education Primary General,HIST101,core
Education Primary General,DANC101,elective
Education Primary General,ASTR202,elective
Education Primary General,BIOL202,core
Veterinary Medicine,ANTH202,core
Veterinary Medicine,PHYS101,core
Veterinary Medicine,ANTH202,foundation
Veterinary Medicine,FOUN202,core
Veterinary Medicine,PSYC101,foundation
Veterinary Medicine,HIST101,elective
Veterinary Medicine,MARK202,elective
Veterinary Medicine,ART101,foundation
Veterinary Medicine,CHEM101,elective
Veterinary Medicine,EDUC101,elective
Veterinary Medicine,PHIL202,elective
Veterinary Medicine,PHIL202,core
Veterinary Medicine,SPAN101,core
